search_log_id,jurisdiction_id,searched_at,searched_by_role,language,domains_searched,query_summary,result_state,evidence_path,review_status,notes
PUBSEARCH-0072,IND,2026-07-27T13:39:45Z,analyst-agent,Hindi,statistics/open data,IND statistics/open data Hindi official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0073,IND,2026-07-27T13:39:45Z,analyst-agent,regional languages,judiciary/court administration,IND judiciary/court administration regional languages official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0074,IND,2026-07-27T13:39:45Z,analyst-agent,regional languages,justice ministry,IND justice ministry regional languages official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0075,IND,2026-07-27T13:39:45Z,analyst-agent,regional languages,statistics/open data,IND statistics/open data regional languages official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0076,INT,2026-07-27T13:39:45Z,analyst-agent,Multiple,judiciary/court administration,INT judiciary/court administration Multiple official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0077,IND,2026-07-27T13:39:45Z,analyst-agent,regional languages,annual reports,IND annual reports regional languages official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0078,INT,2026-07-27T13:39:45Z,analyst-agent,Multiple,statistics/open data,INT statistics/open data Multiple official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0079,INT,2026-07-27T13:39:45Z,analyst-agent,Multiple,justice ministry,INT justice ministry Multiple official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0080,KEN,2026-07-27T13:39:45Z,analyst-agent,Swahili,statistics/open data,KEN statistics/open data Swahili official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0081,INT,2026-07-27T13:39:45Z,analyst-agent,Multiple,annual reports,INT annual reports Multiple official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0082,KEN,2026-07-27T13:39:45Z,analyst-agent,English,judiciary/court administration,KEN judiciary/court administration English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0083,JPN,2026-07-27T13:39:45Z,analyst-agent,Japanese,statistics/open data,JPN statistics/open data Japanese official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0084,JPN,2026-07-27T13:39:45Z,analyst-agent,Japanese,judiciary/court administration,JPN judiciary/court administration Japanese official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0085,KEN,2026-07-27T13:39:45Z,analyst-agent,Swahili,judiciary/court administration,KEN judiciary/court administration Swahili official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0086,JPN,2026-07-27T13:39:45Z,analyst-agent,Japanese,justice ministry,JPN justice ministry Japanese official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
